2009-4-28,3,262.15,298.901666666667,0,0.393333333333333,-6.525,0,Moderate (11-50% Bleached)
2009-7-13,3,301.91,298.61,0,1.58,-0.33,0,Moderate (11-50% Bleached)
2016-9-22,0,298.49,298.11,0,9.62,-0.67,4.93,Moderate (11-50% Bleached)
2007-6-30,8,300.71,297.31,0,0,-2.08,0,Moderate (11-50% Bleached)
2008-8-6,1,262.15,296.93,0,2.01333333333333,0.533333333333333,1.40666666666667,Severe (>50% Bleached)
2008-11-5,14.5,294.48,296.37,0,1.13,-4.23,0,Moderate (11-50% Bleached)
2008-11-5,14.5,294.48,296.37,0,1.13,-4.23,0,Moderate (11-50% Bleached)
2008-7-20,2,262.15,293.9825,0,0.815,-0.26,0,No Bleaching
2008-8-8,3,298.67,293.54,0,7.48,3.06,1.84,Mild (1-10% Bleached)
2008-4-17,4,292.18,292.85,0,2.41,-9.87,0,No Bleaching
2008-8-8,10,301.13,296.76,0,2.55,0.97,1.33,Severe (>50% Bleached)
2016-9-8,5,299.15,297.95,0,10.65,-0.11,4.1,Severe (>50% Bleached)
2016-8-15,1,300.71,297.45,0,12.33,1.27,1.19,Moderate (11-50% Bleached)
2009-11-11,5,295.71,297.43,0,1.73,-4.44,1.72,No Bleaching
2009-11-11,10,295.71,297.43,0,1.73,-4.44,1.72,No Bleaching
2008-9-9,6.5,299.63,297.27,0,9.49,0.48,1.36,No Bleaching
2008-8-27,5,262.15,293.13,0,7.08,0.08,3.64,Mild (1-10% Bleached)
2009-8-8,3,262.15,293.13,0,0,-0.2,0,Moderate (11-50% Bleached)
2010-5-5,3,301.1,299.07,0,2.79,-4.49,0,No Bleaching
2016-8-30,0.5,300.25,298.69,0,16.93,2,7.19,Severe (>50% Bleached)
2016-8-16,5,300.84,298.69,0,15.78,0.98,5.71,Moderate (11-50% Bleached)
2013-8-11,5,300.95,298.49,0,5.96,1.44,1.84,Severe (>50% Bleached)
2015-6-13,3,301.98,298.58,0,8.58,0.24,0,Severe (>50% Bleached)
2010-9-25,2,262.15,298.144,0,1.12,-0.68,0,No Bleaching
2009-8-29,1,300.13,297.86,0,1.28,0.64,0,No Bleaching
2009-8-29,1,300.13,297.86,0,1.28,0.64,0,No Bleaching
